Open,High,Low,Close,Volume,Market Cap
219.87,427.11,216.66,397.87,89600000,1000000000
397.43,476.40,342.22,421.60,65800000,2300000000
420.53,479.30,372.94,409.57,60300000,2600000000
413.53,470.86,407.80,463.31,41400000,2400000000
461.94,462.06,369.14,384.56,26600000,3100000000
380.71,431.38,377.46,418.96,21300000,2300000000
420.98,445.46,376.73,385.50,27400000,2800000000
385.47,429.82,366.95,428.60,25400000,2200000000
428.23,447.77,419.68,447.53,27100000,2600000000
450.46,451.06,409.01,428.53,24300000,2800000000
428.60,429.67,397.46,402.82,36400000,2700000000
402.66,451.29,394.01,449.47,24800000,2300000000
449.02,449.02,372.90,376.96,21800000,3000000000
375.03,382.83,335.59,361.85,19200000,2300000000
360.24,371.85,343.20,353.23,22200000,2300000000
353.65,353.65,311.02,327.27,26000000,2200000000
324.83,328.61,281.29,302.19,27300000,2100000000
300.10,328.78,289.78,322.98,23100000,1800000000
322.83,328.83,313.90,318.02,14200000,2000000000
318.31,321.25,281.03,293.36,4400000,2000000000
290.84,304.50,240.19,256.07,2300000,1900000000
255.91,331.06,19.28,19.28,5900000,13000000000
21.70,44.59,maj.69,22.48,24800000,143600000
23.84,82.43,22.79,37.68,57400000,207900000
35.68,41.94,24.56,29.lis,18700000,368800000
29.33,30.98,21.76,21.81,7100000,320200000
21.72,21.97,16.maj,17.86,5900000,216400000
18.sie,19.20,15.64,16.76,2800000,172400000
16.69,17.sie,15.sie,16.maj,1800000,154900000
15.94,15.94,gru.50,13.26,2400000,159100000
gru.80,15.97,wrz.46,gru.59,5400000,118700000
gru.57,gru.92,pa�.59,lis.18,1600000,122000000
lis.17,lis.29,pa�.48,pa�.53,994800,105900000
pa�.64,lis.24,sie.21,sie.32,2000000,112900000
sie.27,sie.35,07.sty,07.sty,1200000,83100000
7,07.maj,maj.75,06.sty,883700,69100000
maj.97,10.lis,maj.55,sie.73,3700000,47800000
sie.59,13.14,sie.51,sie.89,5700000,87000000
sie.91,sie.93,maj.55,cze.69,692300,92100000
cze.70,cze.91,6,cze.51,317400,61800000
cze.55,cze.63,maj.26,maj.54,309400,65200000
maj.49,maj.64,kwi.18,kwi.29,194600,57700000
kwi.31,maj.59,mar.72,maj.58,302700,34100000
maj.54,maj.54,lut.14,lut.46,792100,81300000
lut.42,lut.81,lut.26,lut.34,211100,23400000
lut.34,lut.35,02.wrz,lut.19,168600,22100000
lut.19,lut.64,lut.19,lut.39,152700,19900000
lut.35,lut.39,02.gru,lut.25,76200,21900000
lut.24,03.gru,lut.23,03.sty,198000,18200000
3,mar.19,lut.83,03.mar,111900,27500000
03.maj,maj.52,03.maj,mar.73,385200,29000000
mar.86,kwi.30,mar.70,04.kwi,157600,35000000
04.cze,kwi.19,mar.87,kwi.13,149600,36800000
04.sie,kwi.38,04.sty,kwi.31,185100,36700000
kwi.34,kwi.34,mar.66,mar.70,150800,43400000
mar.69,kwi.15,mar.62,mar.95,108300,33200000
mar.97,kwi.16,mar.44,mar.52,157900,39300000
mar.52,mar.76,03.sie,mar.27,86200,33900000
mar.31,mar.49,lut.92,03.maj,116600,32000000
03.wrz,mar.48,lut.97,mar.25,105500,28100000
mar.27,mar.38,lut.93,03.gru,104700,30800000
03.gru,mar.17,lut.87,lut.95,151600,29600000
lut.96,mar.26,lut.88,mar.22,181800,26200000
mar.13,mar.38,03.maj,mar.35,116900,27900000
mar.35,mar.43,03.mar,03.cze,123200,32600000
03.lip,mar.20,lut.95,mar.13,102800,28100000
03.lis,mar.24,lut.61,03.lut,164100,28500000
03.lut,mar.20,03.lut,03.cze,117300,28200000
03.cze,03.lis,lut.84,lut.92,55800,29000000
lut.91,lut.94,lut.36,lut.43,74100,29500000
lut.36,lut.64,lut.23,lut.55,73200,21000000
lut.47,lut.56,sty.92,02.sty,61500,25600000
02.sty,lut.17,sty.90,02.kwi,16100,18600000
02.mar,02.maj,sty.76,sty.90,15400,19200000
sty.90,02.wrz,sty.87,sty.92,18200,17900000
sty.91,lut.29,sty.79,lut.16,25200,16800000
lut.15,lut.53,02.maj,02.maj,20900,21400000
02.kwi,lut.46,02.mar,lut.16,22300,19100000
lut.23,lut.37,sty.91,02.lut,21700,22000000
02.lut,02.maj,sty.83,sty.95,17700,18900000
sty.94,02.gru,sty.79,sty.88,25200,18600000
sty.89,02.lut,sty.80,sty.84,22800,18000000
sty.83,02.sty,sty.51,sty.68,49800,17900000
sty.67,kwi.28,sty.66,sty.90,52700,19500000
sty.92,02.lut,0.9948860,sty.99,11600,15600000
sty.99,lut.15,sty.65,sty.75,8000,20000000
sty.75,lut.80,sty.61,sty.89,8000,17400000
sty.89,02.mar,sty.53,sty.57,17400,19700000
sty.59,sty.90,sty.14,sty.57,9000,14700000
sty.55,sty.64,0.9457080,sty.27,7100,15400000
sty.27,sty.83,0.9815810,sty.30,13200,12300000
sty.29,sty.51,01.pa�,sty.25,10800,12500000
sty.25,sty.31,01.maj,sty.18,8100,11900000
sty.18,sty.35,0.9352060,01.kwi,13700,12000000
01.mar,01.kwi,0.7995750,0.8883430,10200,10200000
0.8884950,01.mar,0.8331160,0.9353540,10100,8200000
0.9353260,1,0.6972540,0.8490710,9800,9000000
0.8532320,0.8799960,0.4869510,0.6607380,17700,8700000
0.6612480,0.8098290,0.5296440,0.6331950,28700,6400000
0.6328190,0.6328190,0.3420290,0.4430670,13500,6900000
0.4432030,0.6928370,0.3887330,0.6925070,13600,3300000
0.6890690,0.6963990,0.4939820,0.6900550,4400,6000000
0.6908550,0.8558750,0.5603590,0.6146400,12500,7200000
0.6151570,0.9818420,0.6090230,0.9804100,6900,4700000
0.9820000,sty.27,0.8595330,01.lis,6900,8800000
01.lis,sty.30,01.mar,sty.29,8800,9600000
sty.29,sty.31,sty.19,sty.28,10100,12000000
sty.28,sty.50,sty.18,sty.50,6800,11000000
sty.50,sty.66,sty.41,sty.60,13900,13600000
sty.60,sty.64,sty.22,sty.40,10600,15700000
sty.40,sty.56,sty.29,sty.54,2600,12400000
sty.54,sty.55,sty.38,sty.40,3500,15200000
sty.40,sty.48,sty.35,sty.35,6500,13600000
sty.35,sty.48,sty.35,sty.44,4500,12400000
sty.44,sty.49,sty.43,sty.45,5500,13500000
sty.45,sty.51,0.5709720,sty.50,12000,11400000
sty.50,sty.50,01.cze,sty.17,2100,15800000
sty.17,sty.32,0.9046710,sty.17,2900,10800000
sty.17,sty.34,sty.15,sty.20,4600,11100000
sty.21,sty.52,01.lis,sty.51,3700,10000000
sty.50,sty.69,01.lip,01.lip,5500,17600000
01.sie,sty.48,01.maj,sty.34,4200,9400000
sty.34,sty.49,sty.16,sty.16,1600,14100000
sty.15,sty.26,01.gru,01.gru,5500,11300000
01.gru,sty.32,01.pa�,sty.14,1000,10900000
sty.14,sty.17,0.9383280,0.9939910,4100,11600000
0.9939150,01.cze,0.8185830,01.mar,1600,8900000
01.mar,01.maj,0.8661950,01.maj,4600,9300000
01.maj,01.maj,0.7794450,0.7902460,3200,11500000
0.7904770,01.mar,0.7715950,0.9969590,2200,6800000
0.9967990,sty.26,0.7974680,sty.26,5000,8100000
sty.26,sty.29,0.9790000,sty.20,9200,11800000
sty.20,sty.30,01.sie,01.wrz,6000,12200000
01.wrz,sty.20,01.lut,01.kwi,2100,10800000
01.mar,sty.19,01.lut,sty.17,2700,9300000
sty.17,sty.23,01.kwi,01.wrz,795,11600000
01.wrz,01.lis,0.9728310,01.mar,899,10600000
01.mar,01.sie,0.9177170,0.9920370,1800,9900000
0.9925080,01.lip,0.9130050,01.cze,586,9000000
01.cze,01.lip,0.8889120,0.9535240,4700,10500000
0.9519220,01.wrz,0.8729150,01.maj,987,8600000
01.maj,01.maj,0.8563100,0.8845520,565,10800000
0.8850910,0.9749150,0.8553820,0.9073230,1100,8400000
0.9080100,1,0.8048270,0.9648960,2700,8200000
0.9647250,1,0.7751380,0.7782180,4400,10400000
0.7787270,0.9193710,0.7692190,0.7833240,329,7700000
0.7848750,0.8734680,0.7691910,0.8714740,1100,7100000
0.8713000,0.8717920,0.6390930,0.6427070,3600,9800000
0.6420390,0.6985530,0.6025760,0.6081270,2000,6400000
0.6065620,0.6588110,0.5875800,0.6266260,263,5700000
0.6275610,0.7067260,0.6168940,0.7067260,283,5700000
0.7058440,0.8200070,0.6959700,0.7347570,1400,6800000
0.7350110,0.7350110,0.6262890,0.7201670,1200,6900000
0.7203380,0.7523330,0.6096160,0.6211460,208,7500000
0.6209720,0.6907530,0.5493010,0.6890510,4100,5500000
0.6894930,0.7200640,0.5882640,0.6003350,570,7200000
0.6001810,0.7050170,0.5973760,0.6947030,493,5400000
0.6952140,0.6980470,0.6035990,0.6126930,1000,7100000
0.6124310,0.7497610,0.6090020,0.7471730,1600,5300000
0.7473750,0.7947140,0.6859110,0.7914450,1100,6800000
0.7934590,0.9399770,0.6948180,0.7307300,2400,8200000
0.7310790,0.8048990,0.6773210,0.7629350,2000,6900000
0.7627500,0.8357530,0.6965060,0.8300710,870,6900000
0.8308350,0.8407470,0.6161910,0.6787020,4000,8700000
0.6791290,0.6805850,0.5712800,0.5712800,1200,7200000
0.5709030,0.6240630,0.3546090,0.5905020,2200,5000000
0.5912330,0.6157570,0.5468090,0.5886140,407,5700000
0.5894550,0.5973770,0.4500050,0.5211930,650,5900000
0.5209150,0.5867370,0.4688320,0.4978020,518,5200000
0.4991080,0.5253660,0.4755840,0.5005900,824,4800000
0.5003640,0.5345260,0.4695580,0.5299830,867,4600000
0.5291440,0.5297730,0.3974120,0.5085660,2100,4900000
0.5067290,0.5123820,0.4551120,0.5016370,412,4800000
0.5028790,0.5118400,0.4593620,0.4935510,498,4800000
0.4916180,0.5169800,0.4011830,0.5120980,1700,4400000
