Date,Unnamed: 0,compound,negative,neutral,positive,likes,retweets,Start,Open,High,Low,Close,Volume,Market Cap,order_number,risk_of_PAD
2017-09-03,143,0,0.0676666666666666,0.8873333333333333,0.0453333333333333,1.0,0.0,2017-09-02,0.235898,0.257518,0.215884,0.232376,19799.912891986063,3611763.829212592,4,0
2017-09-04,144,-1,0.1791999999999999,0.6956,0.1252,8.8,0.6,2017-09-03,0.232943,0.254413,0.226879,0.242281,14311.666666666666,3638898.968050671,4,0
2017-09-05,145,0,0.0,1.0,0.0,1.0,0.0,2017-09-04,0.242336,0.24986,0.198961,0.210583,12797.652777777776,3427165.7262658286,4,0
2017-09-06,146,-1,0.112,0.888,0.0,2.0,0.0,2017-09-05,0.207767,0.230326,0.194865,0.228811,17737.299651567944,3332130.053579565,4,0
2017-09-07,147,0,0.046,0.8075,0.1465,0.75,0.25,2017-09-06,0.227148,0.241644,0.216523,0.226242,13509.194444444443,3529344.505607486,4,0
2017-09-08,148,0,0.082,0.6990000000000001,0.219,0.0,0.0,2017-09-07,0.226337,0.233341,0.216186,0.218619,12157.785714285714,3424708.9976802715,4,0
2017-09-11,149,-1,0.0835,0.9165,0.0,1.5,0.0,2017-09-10,0.200443,0.20184,0.16856,0.181509,7323.371527777777,2827311.223440411,4,0
2017-09-13,150,0,0.0303333333333333,0.852,0.1176666666666666,0.6666666666666666,0.0,2017-09-12,0.18462,0.204292,0.174526,0.175578,9254.076655052264,2937441.6481313584,4,0
2017-09-14,151,1,0.0,0.802,0.198,0.0,0.0,2017-09-13,0.175633,0.175633,0.156112,0.159757,10047.975609756097,2540579.064521528,4,0
2017-09-15,152,0,0.0,0.9466,0.0534,0.0,0.0,2017-09-14,0.159769,0.168011,0.131607,0.131607,7357.423611111111,2335525.088369851,4,0
2017-09-17,153,0,0.0,1.0,0.0,0.0,0.0,2017-09-16,0.157549,0.169974,0.143561,0.149668,12877.604895104894,2418796.91638634,4,0
2017-09-18,154,0,0.1845,0.6819999999999999,0.1335,0.0,0.0,2017-09-17,0.149907,0.15678,0.14094,0.147475,4337.484320557492,2384611.912173025,4,0
2017-09-19,155,0,0.0,1.0,0.0,1.0,0.5,2017-09-18,0.147376,0.182977,0.146629,0.171936,7960.170731707317,2485197.4105826723,4,0
2017-09-20,156,0,0.0,1.0,0.0,0.0,0.0,2017-09-19,0.172333,0.182465,0.160362,0.171126,11729.801393728225,2630902.8021732057,4,0
2017-09-21,157,0,0.0,1.0,0.0,0.0,0.0,2017-09-20,0.170986,0.17668,0.163947,0.16416,5684.565972222223,2664165.662754205,4,0
2017-09-22,158,1,0.0,0.8215,0.1785,0.0,0.0,2017-09-21,0.165013,0.187809,0.144764,0.187495,6155.377622377622,2453832.818872419,4,0
2017-09-23,159,1,0.0,0.546,0.454,0.5,0.0,2017-09-22,0.187824,0.203414,0.151114,0.170136,16160.166666666666,2792964.516901073,4,0
2017-09-24,160,-1,0.0803333333333333,0.9196666666666666,0.0,0.0,0.0,2017-09-23,0.171207,0.189154,0.167218,0.179607,10849.947552447553,2804369.8165794946,4,0
2017-09-25,161,0,0.0,1.0,0.0,17.0,3.5,2017-09-24,0.179607,0.18566,0.172944,0.181537,3453.0804195804194,2787465.1677155206,4,0
2017-09-26,162,0,0.0,0.914,0.086,0.0,0.0,2017-09-25,0.181112,0.186785,0.172053,0.177603,4060.5087108013936,2776701.0758629306,4,0
2017-09-27,163,0,0.0,0.841,0.159,1.5,0.0,2017-09-26,0.177604,0.192205,0.172546,0.172546,5510.611888111888,2816922.0271335635,4,0
2017-09-28,164,1,0.0,0.9285,0.0715,3.0,0.0,2017-09-27,0.170109,0.193087,0.159271,0.18863,9775.09375,2747895.762051571,4,0
2017-09-29,165,0,0.0,1.0,0.0,5.666666666666667,0.3333333333333333,2017-09-28,0.184557,0.200614,0.168689,0.198547,14397.746527777776,2860684.8114089444,4,0
2017-09-30,166,0,0.0603999999999999,0.914,0.0256,3.8,0.4,2017-09-29,0.195735,0.232448636,0.163331769,0.232386342,19850.17298076238,2944924.5956250546,4,0
2017-10-01,167,0,0.0,0.9014,0.0986,2.4,0.8,2017-09-30,0.20728437,0.322392988,0.192009911,0.236860092,36145.64443865688,3578747.094965344,4,0
2017-10-02,168,0,0.04975,0.8935,0.05675,0.5,0.0,2017-10-01,0.238547085,0.394065065,0.238547085,0.322680731,52133.863740881054,5162463.927708765,4,0
2017-10-03,169,1,0.0605,0.719,0.2205,4.75,1.5,2017-10-02,0.31859633,0.323327892,0.246003568,0.263220915,44484.556515576405,4599041.462910784,4,0
