Date,Open,High,Low,Close,Volume,Market Cap,Time Open,Time High,Time Low,Time Close
2023-09-12,8.987834e-12,8.987834e-12,8.893227e-12,8.896146e-12,41.61,0,2023-09-12T00:00:00.000Z,2023-09-12T00:00:00.000Z,2023-09-12T21:03:00.000Z,2023-09-12T23:59:59.999Z
2023-09-11,8.987834e-12,8.987834e-12,8.987834e-12,8.987834e-12,0.0,0,2023-09-11T00:00:00.000Z,2023-09-11T00:00:00.000Z,2023-09-11T00:00:00.000Z,2023-09-11T23:59:59.999Z
2023-09-10,8.987834e-12,8.987834e-12,8.987834e-12,8.987834e-12,0.0,0,2023-09-10T00:00:00.000Z,2023-09-10T00:00:00.000Z,2023-09-10T00:00:00.000Z,2023-09-10T23:59:59.999Z
2023-09-09,8.988229e-12,8.993124e-12,8.985738e-12,8.987834e-12,0.0,0,2023-09-09T00:00:00.000Z,2023-09-09T00:39:00.000Z,2023-09-09T07:19:00.000Z,2023-09-09T23:59:59.999Z
2023-09-08,9.105146e-12,9.105146e-12,8.985644e-12,8.98773e-12,14.37,0,2023-09-08T00:00:00.000Z,2023-09-08T00:00:00.000Z,2023-09-08T16:25:00.000Z,2023-09-08T23:59:59.999Z
2023-09-07,9.429579e-12,9.429579e-12,9.099223e-12,9.109409e-12,139.6,0,2023-09-07T00:00:00.000Z,2023-09-07T00:00:00.000Z,2023-09-07T15:00:00.000Z,2023-09-07T23:59:59.999Z
2023-09-06,9.471828e-12,9.474405e-12,9.425679e-12,9.429991e-12,14.38,0,2023-09-06T00:00:00.000Z,2023-09-06T00:14:00.000Z,2023-09-06T06:50:00.000Z,2023-09-06T23:59:59.999Z
2023-09-05,9.474426e-12,9.477592e-12,9.470483e-12,9.471345e-12,0.95,0,2023-09-05T00:00:00.000Z,2023-09-05T03:29:00.000Z,2023-09-05T08:51:00.000Z,2023-09-05T23:59:59.999Z
2023-09-04,9.510849e-12,9.513062e-12,9.473322e-12,9.474442e-12,11.14,0,2023-09-04T00:00:00.000Z,2023-09-04T01:44:00.000Z,2023-09-04T23:38:00.000Z,2023-09-04T23:59:59.999Z
2023-09-03,9.598097e-12,9.600333e-12,9.504152e-12,9.511282e-12,32.4,0,2023-09-03T00:00:00.000Z,2023-09-03T05:42:00.000Z,2023-09-03T20:18:00.000Z,2023-09-03T23:59:59.999Z
2023-09-02,9.602971e-12,9.608155e-12,9.596726e-12,9.59869e-12,2.69,0,2023-09-02T00:00:00.000Z,2023-09-02T11:28:00.000Z,2023-09-02T23:35:00.000Z,2023-09-02T23:59:59.999Z
2023-09-01,9.646271e-12,9.651276e-12,9.598399e-12,9.602612e-12,14.31,0,2023-09-01T00:00:00.000Z,2023-09-01T06:41:00.000Z,2023-09-01T20:34:00.000Z,2023-09-01T23:59:59.999Z
2023-08-31,9.630729e-12,9.714219e-12,9.627491e-12,9.645615e-12,48.65,0,2023-08-31T00:00:00.000Z,2023-08-31T19:24:00.000Z,2023-08-31T00:43:00.000Z,2023-08-31T23:59:59.999Z
2023-08-30,9.210527e-12,9.632557e-12,9.210527e-12,9.631418e-12,145.81,0,2023-08-30T00:00:00.000Z,2023-08-30T23:25:00.000Z,2023-08-30T00:00:00.000Z,2023-08-30T23:59:59.999Z
2023-08-29,9.205522e-12,9.220048e-12,9.20213e-12,9.210099e-12,3.16,0,2023-08-29T00:00:00.000Z,2023-08-29T14:42:00.000Z,2023-08-29T12:07:00.000Z,2023-08-29T23:59:59.999Z
2023-08-28,9.198447e-12,9.211611e-12,8.99415e-12,9.206242e-12,6.0,0,2023-08-28T00:00:00.000Z,2023-08-28T23:27:00.000Z,2023-08-28T09:20:00.000Z,2023-08-28T23:59:59.999Z
2023-08-27,9.195955e-12,9.203491e-12,9.194819e-12,9.198418e-12,0.93,0,2023-08-27T00:00:00.000Z,2023-08-27T01:42:00.000Z,2023-08-27T00:35:00.000Z,2023-08-27T23:59:59.999Z
2023-08-26,9.244875e-12,9.244875e-12,9.185845e-12,9.196161e-12,23.23,0,2023-08-26T00:00:00.000Z,2023-08-26T00:00:00.000Z,2023-08-26T12:17:00.000Z,2023-08-26T23:59:59.999Z
2023-08-25,9.243353e-12,9.249058e-12,9.242379e-12,9.244875e-12,0.0,0,2023-08-25T00:00:00.000Z,2023-08-25T04:31:00.000Z,2023-08-25T08:14:00.000Z,2023-08-25T23:59:59.999Z
2023-08-24,9.337598e-12,9.340095e-12,9.241348e-12,9.244761e-12,30.98,0,2023-08-24T00:00:00.000Z,2023-08-24T00:49:00.000Z,2023-08-24T20:12:00.000Z,2023-08-24T23:59:59.999Z
2023-08-23,9.400073e-12,9.400073e-12,9.335132e-12,9.337336e-12,23.35,0,2023-08-23T00:00:00.000Z,2023-08-23T00:00:00.000Z,2023-08-23T20:37:00.000Z,2023-08-23T23:59:59.999Z
2023-08-22,9.397894e-12,9.403687e-12,9.393977e-12,9.400073e-12,0.0,0,2023-08-22T00:00:00.000Z,2023-08-22T10:01:00.000Z,2023-08-22T06:16:00.000Z,2023-08-22T23:59:59.999Z
2023-08-21,9.447285e-12,9.447285e-12,9.397227e-12,9.39753e-12,20.22,0,2023-08-21T00:00:00.000Z,2023-08-21T00:00:00.000Z,2023-08-21T23:58:00.000Z,2023-08-21T23:59:59.999Z
2023-08-20,9.530758e-12,9.531135e-12,9.445112e-12,9.447575e-12,0.95,0,2023-08-20T00:00:00.000Z,2023-08-20T00:01:00.000Z,2023-08-20T13:42:00.000Z,2023-08-20T23:59:59.999Z
2023-08-19,9.66051e-12,9.662354e-12,9.527282e-12,9.5303e-12,72.51,0,2023-08-19T00:00:00.000Z,2023-08-19T02:28:00.000Z,2023-08-19T04:40:00.000Z,2023-08-19T23:59:59.999Z
2023-08-18,9.738937e-12,9.742222e-12,9.652936e-12,9.658647e-12,24.85,0,2023-08-18T00:00:00.000Z,2023-08-18T00:43:00.000Z,2023-08-18T17:32:00.000Z,2023-08-18T23:59:59.999Z
2023-08-17,9.781462e-12,9.789146e-12,9.729095e-12,9.737842e-12,19.46,0,2023-08-17T00:00:00.000Z,2023-08-17T10:13:00.000Z,2023-08-17T22:57:00.000Z,2023-08-17T23:59:59.999Z
2023-08-16,1.0326776e-11,1.032916e-11,9.767527e-12,9.781787e-12,4.14,0,2023-08-16T00:00:00.000Z,2023-08-16T00:29:00.000Z,2023-08-16T12:43:00.000Z,2023-08-16T23:59:59.999Z
2023-08-15,9.653796e-12,1.0331788e-11,9.515006e-12,1.0326752e-11,933.98,0,2023-08-15T00:00:00.000Z,2023-08-15T19:41:00.000Z,2023-08-15T16:15:00.000Z,2023-08-15T23:59:59.999Z
2023-08-14,1.0132718e-11,1.0135043e-11,9.652124e-12,9.65543e-12,118.63,0,2023-08-14T00:00:00.000Z,2023-08-14T01:31:00.000Z,2023-08-14T23:43:00.000Z,2023-08-14T23:59:59.999Z
2023-08-13,1.0466649e-11,1.0696837e-11,1.0128916e-11,1.0133155e-11,506.46,0,2023-08-13T00:00:00.000Z,2023-08-13T10:55:00.000Z,2023-08-13T22:32:00.000Z,2023-08-13T23:59:59.999Z
2023-08-12,1.5425194e-11,1.5429416e-11,1.0466102e-11,1.0467004e-11,3610.65,0,2023-08-12T00:00:00.000Z,2023-08-12T00:13:00.000Z,2023-08-12T23:50:00.000Z,2023-08-12T23:59:59.999Z
2023-08-11,1.3643242e-11,1.5450279e-11,1.3375516e-11,1.5425873e-11,3494.81,0,2023-08-11T00:00:00.000Z,2023-08-11T23:46:00.000Z,2023-08-11T06:39:00.000Z,2023-08-11T23:59:59.999Z
2023-08-10,9.785231e-12,1.7828958e-11,9.782193e-12,1.3644092e-11,9130.82,0,2023-08-10T00:00:00.000Z,2023-08-10T19:51:00.000Z,2023-08-10T00:33:00.000Z,2023-08-10T23:59:59.999Z
2023-08-09,7.360215e-12,1.0298601e-11,7.357071e-12,9.785268e-12,3004.27,0,2023-08-09T00:00:00.000Z,2023-08-09T22:48:00.000Z,2023-08-09T06:51:00.000Z,2023-08-09T23:59:59.999Z
2023-08-08,7.406941e-12,7.411363e-12,7.310572e-12,7.359807e-12,24.65,0,2023-08-08T00:00:00.000Z,2023-08-08T11:15:00.000Z,2023-08-08T18:13:00.000Z,2023-08-08T23:59:59.999Z
2023-08-07,7.300213e-12,7.411636e-12,7.300213e-12,7.407872e-12,0.0,0,2023-08-07T00:00:00.000Z,2023-08-07T16:11:00.000Z,2023-08-07T00:00:00.000Z,2023-08-07T23:59:59.999Z
2023-08-06,7.319489e-12,7.319489e-12,7.298344e-12,7.300395e-12,1.22,0,2023-08-06T00:00:00.000Z,2023-08-06T00:00:00.000Z,2023-08-06T21:33:00.000Z,2023-08-06T23:59:59.999Z
2023-08-05,7.379745e-12,7.382879e-12,7.315816e-12,7.319873e-12,31.84,0,2023-08-05T00:00:00.000Z,2023-08-05T00:50:00.000Z,2023-08-05T08:28:00.000Z,2023-08-05T23:59:59.999Z
2023-08-04,7.382197e-12,7.389476e-12,7.378631e-12,7.379475e-12,0.65,0,2023-08-04T00:00:00.000Z,2023-08-04T18:27:00.000Z,2023-08-04T22:23:00.000Z,2023-08-04T23:59:59.999Z
2023-08-03,7.383627e-12,7.388711e-12,7.377432e-12,7.382197e-12,0.0,0,2023-08-03T00:00:00.000Z,2023-08-03T00:58:00.000Z,2023-08-03T09:54:00.000Z,2023-08-03T23:59:59.999Z
2023-08-02,7.386699e-12,7.393751e-12,7.380191e-12,7.384126e-12,0.93,0,2023-08-02T00:00:00.000Z,2023-08-02T01:45:00.000Z,2023-08-02T18:00:00.000Z,2023-08-02T23:59:59.999Z
2023-08-01,7.399168e-12,7.404101e-12,7.382776e-12,7.388372e-12,3.53,0,2023-08-01T00:00:00.000Z,2023-08-01T01:34:00.000Z,2023-08-01T18:25:00.000Z,2023-08-01T23:59:59.999Z
2023-07-31,7.404243e-12,7.404243e-12,7.397754e-12,7.400135e-12,1.67,0,2023-07-31T00:00:00.000Z,2023-07-31T00:00:00.000Z,2023-07-31T21:58:00.000Z,2023-07-31T23:59:59.999Z
2023-07-30,7.406349e-12,7.410696e-12,7.402765e-12,7.404243e-12,0.0,0,2023-07-30T00:00:00.000Z,2023-07-30T09:19:00.000Z,2023-07-30T01:06:00.000Z,2023-07-30T23:59:59.999Z
2023-07-29,7.401974e-12,7.408732e-12,7.401974e-12,7.406276e-12,0.73,0,2023-07-29T00:00:00.000Z,2023-07-29T18:12:00.000Z,2023-07-29T00:00:00.000Z,2023-07-29T23:59:59.999Z
2023-07-28,7.401599e-12,7.406257e-12,7.398665e-12,7.401974e-12,0.0,0,2023-07-28T00:00:00.000Z,2023-07-28T05:54:00.000Z,2023-07-28T11:32:00.000Z,2023-07-28T23:59:59.999Z
2023-07-27,7.563599e-12,7.563599e-12,7.390863e-12,7.401406e-12,3.04,0,2023-07-27T00:00:00.000Z,2023-07-27T00:00:00.000Z,2023-07-27T20:05:00.000Z,2023-07-27T23:59:59.999Z
2023-07-26,7.566766e-12,7.570994e-12,7.561811e-12,7.563599e-12,0.0,0,2023-07-26T00:00:00.000Z,2023-07-26T00:47:00.000Z,2023-07-26T03:13:00.000Z,2023-07-26T23:59:59.999Z
2023-07-25,7.847362e-12,7.855549e-12,7.56328e-12,7.567054e-12,172.41,0,2023-07-25T00:00:00.000Z,2023-07-25T01:14:00.000Z,2023-07-25T22:06:00.000Z,2023-07-25T23:59:59.999Z
2023-07-24,7.846457e-12,7.854507e-12,7.840644e-12,7.846743e-12,0.77,0,2023-07-24T00:00:00.000Z,2023-07-24T03:47:00.000Z,2023-07-24T14:46:00.000Z,2023-07-24T23:59:59.999Z
2023-07-23,7.841736e-12,7.852929e-12,7.839025e-12,7.84748e-12,2.44,0,2023-07-23T00:00:00.000Z,2023-07-23T19:38:00.000Z,2023-07-23T01:19:00.000Z,2023-07-23T23:59:59.999Z
2023-07-22,7.831294e-12,7.845522e-12,7.827266e-12,7.842124e-12,4.55,0,2023-07-22T00:00:00.000Z,2023-07-22T23:55:00.000Z,2023-07-22T02:51:00.000Z,2023-07-22T23:59:59.999Z
2023-07-21,7.830475e-12,7.839391e-12,7.820602e-12,7.832733e-12,0.02,0,2023-07-21T00:00:00.000Z,2023-07-21T01:34:00.000Z,2023-07-21T00:12:00.000Z,2023-07-21T23:59:59.999Z
