Date,Text,Likes,Retweets
2017-07-13 20:45:18+00:00,@PeterLBrandt My #CRYPTO $CHC Chaincoin went up 780% in 3 days does that count to? j/k kinda looks the same though $1 million to $100 million market cap!,1,0
2017-07-13 06:55:51+00:00,I liked a @YouTube video https://t.co/HwSY2qiyM6 MasterNODE - Chaincoin hodl / Q&A DBIX mining!!,0,0
2017-07-13 16:52:39+00:00,"I liked a @YouTube video https://t.co/9EwqdOzbTS Crypto Academy VLOG 1: Introduction, Chaincoin Mania, Sia Funding and Crypto Academy",0,0
2017-07-13 10:50:45+00:00,"I liked a @YouTube video https://t.co/sVBLexyfh3 CHC ChainCoin Price Prediction, Forecast 2017-2018",1,0
2017-07-12 19:59:28+00:00,I liked a @YouTube video https://t.co/fOv72kig09 Why my Cryptocurrency Community think YOU NEED to invest in Chaincoin (CHC) Today!,0,0
2017-07-13 02:45:06+00:00,Node Investor Joins the Crypto-Bit Brothers! We Look at Some of the Alt-Coins - #ChainCoin #firstblood #ark  https://t.co/hdYBTg2kXy,2,0
2017-07-13 06:45:08+00:00,I liked a @YouTube video https://t.co/HBJOcXNfhr Moving Ether from Coinbase to quickly buy Chaincoin,0,0
2017-07-13 11:27:56+00:00,"ChainCoin buy wall https://t.co/OEFgK7DvFb #lol #meme #ChainCoin  #cryptocurrency $CHC #ThursdayThoughts #newsisback buy 
ChainCoin",2,0
2017-07-12 18:49:55+00:00,.@zedomax on #Periscope: Chaincoin revolution https://t.co/kVqnvW5pV8,0,0
2017-07-13 19:31:40+00:00,Chaincoin to Replace Bitcoin Dominance Soon? https://t.co/wK0p3pdKKr,1,0
2017-07-13 23:04:35+00:00,ChainCoin vs Ethereum: CHC to be traded on Bittrex next week https://t.co/ruD6Gc3brF,0,0
2017-07-12 19:01:43+00:00,.@zedomax on #Periscope: Chaincoin revolution https://t.co/SgEcnrvn8m,0,0
