,Date,compound,negative,neutral,positive,likes,retweets
144,2017-09-04,-0.1002,0.17919999999999997,0.6956,0.1252,8.8,0.6
145,2017-09-05,0.0,0.0,1.0,0.0,1.0,0.0
146,2017-09-06,-0.31845,0.112,0.888,0.0,2.0,0.0
147,2017-09-07,0.06357499999999999,0.046,0.8075,0.1465,0.75,0.25
148,2017-09-08,0.20955,0.082,0.6990000000000001,0.219,0.0,0.0
149,2017-09-11,-0.24695,0.0835,0.9165,0.0,1.5,0.0
150,2017-09-13,0.15103333333333332,0.030333333333333334,0.852,0.11766666666666666,0.6666666666666666,0.0
151,2017-09-14,0.33155,0.0,0.802,0.198,0.0,0.0
152,2017-09-15,0.1016,0.0,0.9466000000000001,0.0534,0.0,0.0
153,2017-09-17,0.0,0.0,1.0,0.0,0.0,0.0
154,2017-09-18,0.031549999999999995,0.1845,0.6819999999999999,0.1335,0.0,0.0
155,2017-09-19,0.0,0.0,1.0,0.0,1.0,0.5
156,2017-09-20,0.0,0.0,1.0,0.0,0.0,0.0
157,2017-09-21,0.0,0.0,1.0,0.0,0.0,0.0
158,2017-09-22,0.38849999999999996,0.0,0.8215,0.1785,0.0,0.0
159,2017-09-23,0.6309,0.0,0.546,0.454,0.5,0.0
160,2017-09-24,-0.14453333333333332,0.08033333333333333,0.9196666666666666,0.0,0.0,0.0
161,2017-09-25,0.0,0.0,1.0,0.0,17.0,3.5
162,2017-09-26,0.2202,0.0,0.9139999999999999,0.086,0.0,0.0
163,2017-09-27,0.21075,0.0,0.841,0.159,1.5,0.0
164,2017-09-28,0.3062,0.0,0.9285,0.0715,3.0,0.0
165,2017-09-29,0.0,0.0,1.0,0.0,5.666666666666667,0.3333333333333333
166,2017-09-30,-0.09208000000000001,0.060399999999999995,0.914,0.0256,3.8,0.4
167,2017-10-01,0.20259,0.0,0.9014,0.0986,2.4,0.8
168,2017-10-02,0.04580000000000001,0.04975,0.8935,0.05675,0.5,0.0
169,2017-10-03,0.37805,0.0605,0.719,0.2205,4.75,1.5
170,2017-10-04,-0.128,0.12,0.88,0.0,0.0,0.0
171,2017-10-05,0.8225,0.0,0.636,0.364,0.0,0.0
172,2017-10-06,0.09783333333333333,0.025666666666666667,0.7799999999999999,0.19433333333333333,0.6666666666666666,0.0
173,2017-10-07,0.0,0.0,1.0,0.0,1.0,0.0
174,2017-10-08,0.3977333333333333,0.0,0.7233333333333333,0.27666666666666667,0.3333333333333333,0.0
175,2017-10-10,0.382275,0.0,0.8285,0.1715,0.5,0.0
176,2017-10-11,0.8625,0.0,0.625,0.375,0.0,0.0
177,2017-10-12,0.23009999999999997,0.0865,0.79,0.1235,0.0,0.0
178,2017-10-13,-0.126,0.181,0.667,0.152,0.0,0.0
179,2017-10-14,0.0,0.0,1.0,0.0,0.5,0.0
180,2017-10-15,0.2997,0.0,0.9245,0.0755,0.5,0.0
181,2017-10-16,0.0496,0.021,0.9410000000000001,0.038,0.25,0.0
182,2017-10-17,0.45715,0.0,0.8360000000000001,0.164,1.0,0.0
183,2017-10-18,0.3113666666666666,0.0,0.8206666666666668,0.17933333333333334,1.3333333333333333,0.0
184,2017-10-19,-0.064,0.0555,0.9445,0.0,0.0,0.0
185,2017-10-20,0.0,0.0,1.0,0.0,1.0,0.0
186,2017-10-21,-0.3982,0.192,0.808,0.0,1.0,0.0
187,2017-10-22,0.24695,0.0,0.862,0.138,1.0,0.0
188,2017-10-25,0.3062,0.0,0.8865000000000001,0.1135,6.5,1.0
189,2017-10-26,-0.4588,0.143,0.857,0.0,1.0,0.0
