Date,Open,High,Low,Close,Volume,Market Cap,Time Open,Time High,Time Low,Time Close
2021-05-10,661.44998939,690.93196468,596.16588413,631.35200714,5157435388.97,96870167481.81,2021-05-10T00:00:00.000Z,2021-05-10T06:28:08.000Z,2021-05-10T20:07:07.000Z,2021-05-10T23:59:59.999Z
2021-05-09,646.31212833,678.22839393,631.46529812,662.2285746,4321052942.57,101607648677.76,2021-05-09T00:00:00.000Z,2021-05-09T11:01:07.000Z,2021-05-09T04:18:10.000Z,2021-05-09T23:59:59.999Z
2021-05-08,624.39442685,657.54463301,618.84071723,646.10081969,3910931714.87,99133120518.45,2021-05-08T00:00:00.000Z,2021-05-08T19:24:08.000Z,2021-05-08T00:13:08.000Z,2021-05-08T23:59:59.999Z
2021-05-07,634.00691721,644.12448428,612.16249682,624.56330073,3658116305.77,95828556590.64,2021-05-07T00:00:00.000Z,2021-05-07T17:32:07.000Z,2021-05-07T04:39:18.000Z,2021-05-07T23:59:59.999Z
2021-05-06,651.04949065,653.41283775,621.06607703,633.28039598,3975000210.53,97166045768.15,2021-05-06T00:00:00.000Z,2021-05-06T00:04:10.000Z,2021-05-06T19:20:09.000Z,2021-05-06T23:59:59.999Z
2021-05-05,609.33103853,656.23699211,605.16619168,651.66270747,4248449282.77,99986497073.8,2021-05-05T00:00:00.000Z,2021-05-05T13:52:10.000Z,2021-05-05T00:03:07.000Z,2021-05-05T23:59:59.999Z
2021-05-04,676.31590539,676.91689859,606.26771105,611.2003008,5728175230.33,93778232798.75,2021-05-04T00:00:00.000Z,2021-05-04T00:01:09.000Z,2021-05-04T15:18:07.000Z,2021-05-04T23:59:59.999Z
2021-05-03,621.90268911,679.81502331,621.90268911,675.68407747,5274868721.15,103672165463.46,2021-05-03T00:00:00.000Z,2021-05-03T18:13:10.000Z,2021-05-03T00:00:10.000Z,2021-05-03T23:59:59.999Z
2021-05-02,619.97209295,628.62099055,595.85876199,622.10101373,3765184550.88,95450760763.81,2021-05-02T00:00:00.000Z,2021-05-02T15:26:09.000Z,2021-05-02T04:05:10.000Z,2021-05-02T23:59:59.999Z
2021-05-01,622.46931099,641.86081336,611.30199253,619.34722929,4065705136.12,95028239639.54,2021-05-01T00:00:00.000Z,2021-05-01T02:32:09.000Z,2021-05-01T09:17:10.000Z,2021-05-01T23:59:59.999Z
2021-04-30,599.98845271,627.77745187,586.20579415,624.08056078,5741358048.33,95754488402.29,2021-04-30T00:00:00.000Z,2021-04-30T18:57:13.000Z,2021-04-30T01:02:09.000Z,2021-04-30T23:59:59.999Z
2021-04-29,562.87357737,614.82418619,554.28465481,599.7065421,6585918997.83,92014712104.63,2021-04-29T00:00:00.000Z,2021-04-29T12:50:10.000Z,2021-04-29T04:46:10.000Z,2021-04-29T23:59:59.999Z
2021-04-28,568.74568503,578.88814585,539.07253749,562.63256836,3648784688.56,86326344909.64,2021-04-28T00:00:00.000Z,2021-04-28T01:44:10.000Z,2021-04-28T06:37:10.000Z,2021-04-28T23:59:59.999Z
2021-04-27,535.42844997,578.62349967,525.76778302,568.47054794,4050720272.06,87222083029.98,2021-04-27T00:00:00.000Z,2021-04-27T13:21:10.000Z,2021-04-27T00:30:14.000Z,2021-04-27T23:59:59.999Z
2021-04-26,504.74876328,549.96673805,502.31146893,534.57769122,4072866874.76,82021803835.38,2021-04-26T00:00:00.000Z,2021-04-26T06:41:09.000Z,2021-04-26T00:05:10.000Z,2021-04-26T23:59:59.999Z
2021-04-25,496.25682187,517.08300972,478.88944436,505.07705473,3419309602.69,77495435715.05,2021-04-25T00:00:00.000Z,2021-04-25T15:09:09.000Z,2021-04-25T21:43:09.000Z,2021-04-25T23:59:59.999Z
2021-04-24,526.75837516,527.44090014,483.95913401,496.41506617,4070234639.5,76166401717.25,2021-04-24T00:00:00.000Z,2021-04-24T03:40:10.000Z,2021-04-24T11:13:09.000Z,2021-04-24T23:59:59.999Z
2021-04-23,505.85888819,530.07497112,452.43552517,526.56524857,8893557869.81,80792431546.96,2021-04-23T00:00:00.000Z,2021-04-23T20:43:10.000Z,2021-04-23T02:25:08.000Z,2021-04-23T23:59:59.999Z
2021-04-22,544.00547259,582.03769892,481.26022239,506.01300652,8342960848.68,77639041509.6,2021-04-22T00:00:00.000Z,2021-04-22T16:26:09.000Z,2021-04-22T21:12:12.000Z,2021-04-22T23:59:59.999Z
2021-04-21,586.90121329,612.68707277,537.34936949,546.02357326,8456300946.39,83777978675.73,2021-04-21T00:00:00.000Z,2021-04-21T06:43:08.000Z,2021-04-21T23:18:09.000Z,2021-04-21T23:59:59.999Z
2021-04-20,503.79515917,588.06479513,475.59037789,587.029086,9330924061.08,90069573288.49,2021-04-20T00:00:00.000Z,2021-04-20T20:02:09.000Z,2021-04-20T00:59:08.000Z,2021-04-20T23:59:59.999Z
2021-04-19,481.39668361,539.71127016,469.15216619,505.09292344,7141301319.57,77497870497.18,2021-04-19T00:00:00.000Z,2021-04-19T07:04:08.000Z,2021-04-19T00:14:09.000Z,2021-04-19T23:59:59.999Z
2021-04-18,520.59024062,526.05876098,429.05289502,481.03425396,6711806048.49,73806479141.26,2021-04-18T00:00:00.000Z,2021-04-18T00:17:09.000Z,2021-04-18T11:57:10.000Z,2021-04-18T23:59:59.999Z
2021-04-17,509.58130289,548.60238254,509.04855209,520.41674735,5195399090.8,79849049193.74,2021-04-17T00:00:00.000Z,2021-04-17T04:19:09.000Z,2021-04-17T00:48:11.000Z,2021-04-17T23:59:59.999Z
2021-04-16,542.57365883,548.88501843,493.00948844,510.22019491,6886285728.44,78284562613.11,2021-04-16T00:00:00.000Z,2021-04-16T08:12:08.000Z,2021-04-16T13:53:09.000Z,2021-04-16T23:59:59.999Z
2021-04-15,550.4133506,556.83381812,536.07843574,542.6320949,4608061831.12,83854448855.71,2021-04-15T00:00:00.000Z,2021-04-15T08:09:12.000Z,2021-04-15T02:29:09.000Z,2021-04-15T23:59:59.999Z
2021-04-14,550.40147183,590.41744086,526.53428887,549.59186816,7452346447.98,84929962000.8,2021-04-14T00:00:00.000Z,2021-04-14T08:42:14.000Z,2021-04-14T19:33:12.000Z,2021-04-14T23:59:59.999Z
2021-04-13,596.98860974,602.29643719,532.95585861,549.58653697,9433830832.04,84929138156.58,2021-04-13T00:00:00.000Z,2021-04-13T00:11:09.000Z,2021-04-13T08:41:09.000Z,2021-04-13T23:59:59.999Z
2021-04-12,526.70179731,637.44233264,516.27921336,598.72264749,14436315724.54,92522278159.72,2021-04-12T00:00:00.000Z,2021-04-12T09:33:11.000Z,2021-04-12T01:14:09.000Z,2021-04-12T23:59:59.999Z
2021-04-11,471.64643266,529.64503757,459.59041377,525.38556899,5697422904.17,81189295175.02,2021-04-11T00:00:00.000Z,2021-04-11T23:06:21.000Z,2021-04-11T00:43:09.000Z,2021-04-11T23:59:59.999Z
2021-04-10,454.34317887,487.27521911,451.35515953,472.56034233,6160670396.68,73026065780.07,2021-04-10T00:00:00.000Z,2021-04-10T10:21:09.000Z,2021-04-10T00:04:09.000Z,2021-04-10T23:59:59.999Z
