Date,Price,market_cap,Volume
2018-11-18,0.001178294145640661,87718.92498930755,993615.7992810651
2018-11-19,0.001200514338530782,89407.04671495958,133310.89251230797
2018-11-20,0.0011194038790731504,83334.79824578793,99220.93624113323
2018-11-21,0.0010767819833026114,80161.78165071254,406808.6973645543
2018-11-22,0.0010660177354085277,79360.4297496777,361913.1710772449
2018-11-23,0.0010499022116166627,77972.71609150371,72623.61486850672
2018-11-24,0.0010658796241129018,79350.1479584747,44155.39895271718
2018-11-25,0.0010078887692212117,79749.69949098967,72926.39954430239
2018-11-26,0.001029752483053285,76660.63788290387,50570.808826329834
2018-11-27,0.0010262661989142437,76401.09904193164,64351.04096273601
2018-11-28,0.0010336371058828227,76949.83132399555,115012.73491561014
2018-11-29,0.00103817132693192,77287.38455513242,24171.67360654428
2018-11-30,0.0010479999080058968,77591.5794334412,1061350.536799499
2018-12-01,0.0010323134816076257,76623.9142106842,39204.267607687674
2018-12-02,0.0010363425378407073,77151.23908270783,4597.995293803976
2018-12-03,0.0010434807097017332,77682.64523825457,82520.31716784308
2018-12-04,0.0010530313496008713,78393.6492502934,97733.24552108083
2018-12-05,0.0010175250546785978,75750.35849606356,132691.32326326802
2018-12-06,0.0007783862292465493,57947.50275947718,100300.64812699468
2018-12-07,0.0005485907291755956,40840.21736034245,41839.97170301011
2018-12-08,0.0006767632436632145,50382.109107515025,37958.59782766453
2018-12-09,0.000694693902898496,51716.96947178621,151002.23727550232
2018-12-10,0.0007753712077517551,57723.04739294457,124503.05128654592
2018-12-11,0.0006671707029628774,49667.985761266675,20735.140416348073
2018-12-12,0.0006161956936245953,45873.11583255054,17223.98824475994
2018-12-13,0.0006905029716218041,51404.97268587704,16176.10446826072
2018-12-14,0.000629087592699433,46832.862201569915,39950.883736594755
2018-12-15,0.0006283905249057789,46780.96850615419,27454.98291272121
2018-12-16,0.000624032968175049,46456.56717274035,1917606.4227375693
2018-12-17,0.0006622727081860638,49303.351142640335,242545.30044613036
2018-12-18,0.0007867372822619666,58569.20269387075,79014.65812516227
2018-12-19,0.0009548105698412197,71081.53517079624,38205.89092975665
2018-12-20,0.0011747180441007993,87452.69962962986,103288.91782660795
2018-12-21,0.0010607337779199512,78967.06186925327,32435.502126876785
2018-12-22,0.0010634660975520458,79170.47129952269,8588.558607572748
2018-12-23,0.001087147144895943,80933.42329526403,135247.16426773055
2018-12-24,0.001146752133195993,85370.7579939252,17311.90809527014
2018-12-25,0.0012005558286460956,89376.21142233802,131790.74232359094
2018-12-26,0.000913191885886893,67983.20337525099,24699.605535277355
2018-12-27,0.0010276490022280839,76504.04279380417,1481.003072075029
2018-12-28,0.0009044602614067667,67333.17153418591,7180.6338377838965
2018-12-29,0.0010348923923683775,77043.28199713507,9921.370716068272
2018-12-30,0.001050409209332694,78198.44219919616,10308.012393005803
2018-12-31,0.001007157018233036,74978.50283114369,4257.307591348003
2019-01-01,0.000977798005200207,72792.85074120093,2731.7565012123223
2019-01-02,0.0010300977194754352,76686.33924782212,1988.406461970727
2019-01-03,0.0012076715742141194,89905.94803694627,15391.324885540374
2019-01-04,0.001103543717013964,82154.07747997987,33044.39829464397
2019-01-05,0.0011232770950534595,83623.14249607646,6562.414566864874
2019-01-06,0.0011590065210801324,86283.04440014697,16715.339866709368
2019-01-07,0.0011773732180954727,87650.36589940984,14996.6270277373
2019-01-08,0.0013133357760329615,97772.19283472768,62429.48840052126
2019-01-09,0.0013690014526064242,101916.26273942167,29308.958109368785
2019-01-10,0.0015416902360644834,114772.19900855755,44409.03067127641
2019-01-11,0.0012897655415485079,96017.49037917229,36618.95051325592
2019-01-12,0.0014713921262281293,109538.80745990278,57065.773364913875
2019-01-13,0.0014841421622102421,110487.99273258173,15165.224005104934
2019-01-14,0.0013762908378395402,102458.92607934194,20873.130019248063
2019-01-15,0.0015523181460243157,115563.40113750711,26213.02720137222
2019-01-16,0.001528033085428995,113755.48295629314,28403.40504344164
2019-01-17,0.0014728309164840376,109645.91919851267,14458.215315901718
2019-01-18,0.0014814782355788178,110289.67486668768,3608.6175898544966
2019-01-19,0.0014334320923991798,106712.8464107433,18435.424997792026
2019-01-20,0.0014924636211477845,111107.48951532017,5577.041029507647
2019-01-21,0.0014867133032347153,110679.40310960608,7653.142266557716
2019-01-22,0.0014531249728364727,108178.89655475301,5514.852641284864
2019-01-23,0.0014690670086297559,109365.71246748719,13394.114239979801
2019-01-24,0.0014848801288434989,110542.93117048094,3720.4541992528552
2019-01-25,0.0014816239642211858,110300.52373655261,2981.4059267708244
2019-01-26,0.0014470557718622929,107727.07067836316,17525.33003970314
2019-01-27,0.0014889520679360168,110846.06950070102,17411.83004937099
2019-01-28,0.0014843134654919474,110500.7455242118,12766.549614054524
2019-01-29,0.0013819989916614196,102883.8735500405,12826.883202367933
2019-01-30,0.0014132574315383888,105232.00739463077,3240.6054442063914
2019-01-31,0.0014166525951619317,105553.74748015487,18012.885505776412
2019-02-01,0.0014575172346703888,108505.88153364653,76257.7812619379
2019-02-02,0.0014513369698740957,108045.78743398069,6249.925909868789
2019-02-03,0.0014002561172646473,104243.03792952494,3196.1960620460527
2019-02-04,0.0014047839935240462,104565.33107488201,17249.667978510395
2019-02-05,0.0014378657295538713,107042.91160409167,90418.5543206893
2019-02-06,0.001414074774368369,104954.9808955931,54652.4664695092
2019-02-07,0.001383232940622623,102975.73573637899,21972.25252851013
2019-02-08,0.0013928634334251723,103692.68445320177,15833.914207037978
2019-02-09,0.0014128660486733605,104734.86987527016,32870.225913562725
2019-02-10,0.001473370589533002,109552.63290454012,29664.112561463462
2019-02-11,0.001434723153088041,106808.9603192625,12825.370892453011
2019-02-12,0.0015454697843733185,115224.94595738793,37143.474926505834
2019-02-13,0.0014678108436509023,109620.80161609335,27879.076218220176
2019-02-14,0.0014504474667025214,107979.56775337394,26809.4947738174
2019-02-15,0.0015071463749476586,112859.60325512437,24726.986947325033
2019-02-16,0.0014912719496535565,110996.10267256125,15505.111361815532
2019-02-17,0.0016029975740137097,119336.26630767695,73057.12774787129
2019-02-18,0.001536979692717986,114421.51934168575,17427.655674638852
2019-02-19,0.001800800223914367,134837.4352368325,90124.14508775219
2019-02-20,0.0015851270057965143,118005.87946092893,59958.55967838503
2019-02-21,0.001631497753434564,121457.98193365114,51657.335900575265
2019-02-22,0.0016545789278402695,122905.30661449612,41863.66654212718
2019-02-23,0.0016364108207999795,121823.73864159093,29323.853420476986
2019-02-24,0.0017960320844776557,133253.17927763902,24126.950007000087
2019-02-25,0.0016968153095617117,126467.04849918858,63494.78017070758
2019-02-26,0.001749980322681261,130278.49898598742,45559.25114441568
2019-02-27,0.001789262429310888,133202.88266184172,25577.92306394512
2019-02-28,0.001879358091795008,139815.81868685898,57328.942823308294
2019-03-01,0.001898629114301174,141344.76138752777,108490.87160402974
2019-03-02,0.001854281992478515,138043.30914230898,27446.802406537892
2019-03-03,0.001838239811552669,136990.50590757106,20747.686664533903
2019-03-04,0.0018566869885659064,138222.35074424677,20591.183653086722
2019-03-05,0.0017743740698843943,132005.27067933007,35622.40053725361
2019-03-06,0.001969804192815608,146643.43947772658,32044.667561803537
2019-03-07,0.001962118167504206,145921.91354711275,17253.0396756213
2019-03-08,0.0023146318842653586,172606.33571060208,169382.74017167307
2019-03-09,0.002112807141008464,155520.1837370886,38919.43901119766
2019-03-10,0.002242545100445152,166947.8255314003,18046.960026064808
2019-03-11,0.0022497957715355717,169162.99744475778,14571.073167470455
2019-03-12,0.0023524289265114406,173771.71654719248,64945.17589861931
2019-03-13,0.002401415544124938,178775.0459107292,66557.50876004207
2019-03-14,0.0024151604985534307,179238.30418352303,41831.74163872311
2019-03-15,0.0026180357319617797,194797.0958634781,125929.97674759774
2019-03-16,0.0029303949349331546,218007.5643472268,124069.29145795645
2019-03-17,0.0032447860169538146,241474.8816063121,110154.52662681835
2019-03-18,0.003050457054036068,227093.39132004604,25283.11487079951
2019-03-19,0.003041194311634593,226729.2692800716,59181.75181410429
2019-03-20,0.0032264925727794962,240198.47761894527,83910.77787264792
2019-03-21,0.0030741152184984577,228854.63978380102,66838.42198135484
2019-03-22,0.003008074672836879,223827.95708057447,45131.76246369465
2019-03-23,0.0032460763218303086,241656.40340119012,66674.35713463867
2019-03-24,0.003502275235612052,260594.34984112327,125447.34445795054
2019-03-25,0.0036924878501410296,275071.53542957286,91523.81601672842
2019-03-26,0.003986514664136338,296778.8493950425,132828.0377356633
2019-03-27,0.003455325494300456,257234.10319023853,101328.1611740884
2019-03-28,0.0038999648598395955,290816.5421633076,144671.26323438738
2019-03-29,0.0038581566866010943,287441.2881140907,48757.9509171142
2019-03-30,0.004209006154420113,313444.8579378551,152129.90692674744
2019-03-31,0.00409485229212091,304844.1192581386,101643.58119878692
2019-04-01,0.003999530831256658,297747.84698490566,149395.4680577019
2019-04-02,0.004028768575616841,300214.308867931,31531.045056074625
2019-04-03,0.0040006815768260815,297833.5150370296,150516.9730784581
2019-04-04,0.0038029385432384846,283112.397738261,201461.2058546349
2019-04-05,0.003915338754157522,292053.3635968597,65496.82273286135
2019-04-06,0.0037240956025989046,277179.6452862,29133.454431404854
2019-04-07,0.0036014980017971703,268568.0958011556,61842.674939517325
2019-04-08,0.0034263608933870334,257218.45732233603,104679.4139120648
