Date,Open,High,Low,Close,Volume,Market Cap
2018-06-25,0.4100110,0.4275820,0.4072090,0.4195850,339,3900000
2018-06-26,0.4195850,0.4578760,0.4094520,0.4098190,764,4200000
2018-06-27,0.4096550,0.4458260,0.3934040,0.4452000,772,3800000
2018-06-28,0.4453560,0.4466830,0.3966580,0.4210850,1300,4400000
2018-06-29,0.4213280,0.4486650,0.3817990,0.4411040,1400,3900000
2018-06-30,0.4417080,0.4603740,0.4173630,0.4567500,599,4200000
2018-07-01,0.4568010,0.4593200,0.4190330,0.4506930,671,4400000
2018-07-02,0.4507170,0.4722570,0.4256730,0.4571430,1400,4300000
2018-07-03,0.4552280,0.5604150,0.4037740,0.5526990,1800,3900000
2018-07-04,0.5524880,0.5533650,0.4058400,0.4526290,1200,5800000
2018-07-05,0.4535920,0.5271940,0.4350590,0.4746610,5700,4400000
2018-07-06,0.4745950,0.4745950,0.4101800,0.4528870,199,4600000
2018-07-07,0.4521200,0.4835700,0.4222330,0.4819570,335,4200000
2018-07-08,0.4814140,0.4820350,0.4759730,0.4768010,280,4700000
2018-07-09,0.4766960,0.4789570,0.4354610,0.4620560,341,4600000
2018-07-10,0.4617290,0.4626270,0.4092160,0.4391580,148,4500000
2018-07-11,0.4391750,0.4494950,0.4034570,0.4494950,706,4100000
2018-07-12,0.4494590,0.4494590,0.3288440,0.3989360,500,4400000
2018-07-13,0.3993010,0.4203280,0.3422840,0.3449400,699,4200000
2018-07-14,0.3439410,0.4109300,0.3439410,0.4108050,430,3100000
2018-07-15,0.4107150,0.4286910,0.3924010,0.4113230,567,4000000
2018-07-16,0.4118040,0.4917930,0.4107770,0.4838850,346,3700000
2018-07-17,0.4853180,0.5603880,0.4658990,0.5562880,678,4400000
2018-07-18,0.5558480,0.5730810,0.5558480,0.5656860,689,5400000
2018-07-22,0.4925470,0.4933600,0.4830380,0.4836580,11,4800000
2018-07-23,0.4835590,0.4854740,0.3984460,0.4295740,631,4900000
