Date,Unnamed: 0,compound,negative,neutral,positive,likes,retweets,Open,High,Low,Close,Volume,Market Cap,Time Open,Time High,Time Low,Time Close,order_number,risk_of_PAD
2018-06-20,37,0,0.0174130434782608,0.8798478260869566,0.1027391304347826,13.717391304347826,6.456521739130435,0.0300414003431797,0.0301495008170604,0.0281259007751941,0.029092900454998,8240570.0,437973696.558,2018-06-20T00:00:00.000Z,2018-06-20T00:24:08.000Z,2018-06-20T13:14:06.000Z,2018-06-20T23:59:59.999Z,2,0
2018-06-21,38,1,0.0035813953488372,0.8750232558139535,0.1213953488372093,2.953488372093023,1.2093023255813953,0.0290319994091987,0.0296867005527019,0.0277750995010137,0.0279952995479106,6846660.0,421450079.821,2018-06-21T00:00:00.000Z,2018-06-21T03:09:07.000Z,2018-06-21T20:09:06.000Z,2018-06-21T23:59:59.999Z,2,0
2018-06-22,39,0,0.0108292682926829,0.9240243902439024,0.0651463414634146,11.439024390243905,4.365853658536586,0.0280291996896266,0.0282537993043661,0.0237134993076324,0.0244925990700721,9018820.0,368719328.781,2018-06-22T00:00:00.000Z,2018-06-22T00:19:20.000Z,2018-06-22T21:59:07.000Z,2018-06-22T23:59:59.999Z,2,0
2018-06-23,40,0,0.0376315789473684,0.8531315789473684,0.1092368421052631,3.236842105263158,1.1578947368421053,0.0244858991354703,0.0250374004244804,0.023956200107932,0.0244394000619649,4535120.0,367918439.195,2018-06-23T00:00:00.000Z,2018-06-23T01:49:07.000Z,2018-06-23T15:29:06.000Z,2018-06-23T23:59:59.999Z,2,0
2018-06-24,41,0,0.0293333333333333,0.9217142857142858,0.0489047619047619,5.214285714285714,1.5952380952380951,0.024389499798417,0.024389499798417,0.0209566000849008,0.0237668994814157,7703380.0,357794411.994,2018-06-24T00:00:00.000Z,2018-06-24T00:04:06.000Z,2018-06-24T16:04:07.000Z,2018-06-24T23:59:59.999Z,2,0
2018-06-25,42,0,0.0197499999999999,0.90975,0.0705,6.607142857142857,1.9285714285714288,0.0236959997564554,0.0247600991278886,0.0230032000690698,0.0238636005669832,5262410.0,359250164.307,2018-06-25T00:00:00.000Z,2018-06-25T15:39:06.000Z,2018-06-25T13:19:07.000Z,2018-06-25T23:59:59.999Z,2,0
2018-06-26,43,0,0.0166865671641791,0.8963283582089553,0.0869701492537313,19.746268656716417,8.955223880597014,0.0239882003515958,0.0239882003515958,0.022614499554038,0.022614499554038,4009870.0,340445818.767,2018-06-26T00:00:00.000Z,2018-06-26T00:04:09.000Z,2018-06-26T23:59:06.000Z,2018-06-26T23:59:59.999Z,2,0
2018-06-29,44,0,0.0446590909090909,0.8904090909090908,0.0649318181818181,6.863636363636363,3.090909090909091,0.0212433002889156,0.0228147991001606,0.0206672009080648,0.0225572008639574,4902530.0,339583206.486,2018-06-29T00:00:00.000Z,2018-06-29T23:39:00.000Z,2018-06-29T05:34:00.000Z,2018-06-29T23:59:59.999Z,2,0
2018-06-30,45,0,0.0169736842105263,0.912157894736842,0.0708157894736842,15.63157894736842,6.842105263157895,0.0225983001291751,0.0240793004631996,0.0225090999156236,0.0234233997762203,8354180.0,352623254.607,2018-06-30T00:00:00.000Z,2018-06-30T03:34:00.000Z,2018-06-30T00:09:00.000Z,2018-06-30T23:59:59.999Z,2,0
2018-07-01,46,0,0.0717199999999999,0.80484,0.12344,13.44,5.56,0.0234363004565238,0.0259108003228902,0.0225467998534441,0.0251414999365806,10032200.0,378488074.135,2018-07-01T00:00:00.000Z,2018-07-01T22:19:00.000Z,2018-07-01T15:19:00.000Z,2018-07-01T23:59:59.999Z,2,0
